Рік,"Тіньова економіка, %","Зміна реального ВВП, %",productivity_index_total,productivity_index_agriculture,productivity_index_industry,productivity_index_construction,productivity_index_trade,productivity_index_transportation,productivity_index_accommodation,productivity_index_telecom,productivity_index_finance,productivity_index_realestate,productivity_index_scientific,productivity_index_admin,productivity_index_public,productivity_index_education,productivity_index_healthcare,productivity_index_entertainment,productivity_index_other,01-24_Індекс_фіз_обсягу_експорту,01-24_Індекс_цін_експорту,25-27_Індекс_фіз_обсягу_експорту,25-27_Індекс_цін_експорту,72_Індекс_фіз_обсягу_експорту,72_Індекс_цін_експорту,85_Індекс_фіз_обсягу_експорту,85_Індекс_цін_експорту,Індекс фізичного обсягу експорту (Ласпейреса),Індекс цін експорту (Пааше),Індекс фізичного обсягу імпорту (Ласпейреса),Індекс цін імпорту (Пааше),"Умови торгівлі (Terms of Trade, ToT)"
2013,35%,"0,00%",,,,,,,,,,,,,,,,,,98.5,100.1,101.3,98.3,97.2,99.5,100.2,97.9,99.7,99.3,103.1,100.4,98.9
2014,43%,"–6,6%",,,,,,,,,,,,,,,,,,91.2,95.6,87.5,93.4,90.1,92.7,89.3,94.8,89.9,94.7,80.2,96.2,98.4
2015,40%,"–9,8%",99.2,103.0,96.1,94.9,95.4,108.8,113.9,104.0,92.9,110.3,94.0,109.1,101.0,102.8,109.8,92.6,110.3,80.4,78.3,76.2,70.5,75.9,74.8,79.4,77.0,77.5,75.6,86.6,75.0,100.8
2016,35%,"0,024",103.5,106.5,105.0,114.6,104.1,103.2,105.8,105.6,97.8,107.3,103.7,106.6,101.1,99.2,97.9,101.4,102.9,104.5,94.4,103.2,96.3,98.6,95.0,101.5,93.7,102.7,96.0,108.2,99.4,96.6
2017,32%,"0,025",103.1,97.7,101.7,125.7,102.1,104.6,104.4,108.8,126.9,103.2,108.9,102.8,93.8,102.4,101.5,101.6,106.1,120.1,117.2,125.6,112.4,121.4,110.2,123.0,111.7,123.1,115.3,122.0,115.3,100.0
2018,31%,"0,034",102.2,105.3,102.7,105.0,101.0,100.9,104.6,104.0,109.6,105.8,100.6,102.1,103.6,100.4,97.7,103.5,103.1,102.3,108.5,97.8,115.6,101.1,106.8,103.4,107.9,100.7,110.2,107.6,113.0,97.5
2019,28%,"0,032",101.8,98.6,98.2,117.9,99.5,103.5,102.1,103.5,106.7,106.8,107.5,102.1,117.4,103.4,106.9,104.2,108.6,106.7,96.7,104.2,94.3,108.9,95.5,105.5,96.2,105.6,97.3,105.4,102.4,95.0
2020,31%,"0,054",100.3,98.8,99.6,110.4,109.5,86.0,85.6,104.8,101.7,104.9,88.2,91.6,97.9,94.9,106.7,91.2,82.2,103.2,95.2,99.5,97.1,100.7,94.0,102.9,95.9,101.7,97.5,93.9,96.1,
,,,105.5,116.3,103.5,102.7,101.1,103.2,146.2,113.0,112.9,101.4,104.0,98.9,100.6,112.8,106.5,118.4,107.3,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
