quarter_period,total_gdp_deflator,real_gdp_index,nominal_gdp_index,gross_operating_surplus,compensation_of_employees,taxes_less_subsidies,property_income_net_row,gross_national_income,unemployment_rate,avg_annual_unemployment_rate,yoy_change_perc,employment_rate,date,real_gdp_index_seasonally_adjusted,cpi_index,inflation_index,core_inflation_index,Deflators of gross domestic product by final use categories,avg_wage_uah,monthly_agri_exp_index,industrial_production_index,ppi_index,ppi_mom_growth,ppi_yoy_growth,inflation_index_seasonally_adjusted
2015Q1,141.2,117.26,165.57,138863.0,185852.0,70765.0,-28618.0,366862.0,"11,2","8,975","49,33333333",54.4,2015-01-01,117.27036607142855,189.5,105.53333333333335,102.3,99.76666666666667,4113.0,100.13333333333333,99.76666666666667,100.73333333333333,-0.0061170102236954675,-0.02694527267630657,102.05555555555556
2015Q2,139.7,118.43,165.45,185656.0,217027.0,76128.0,-28970.0,449841.0,"8,7","8,975","-8,421052632",54.9,2015-04-01,118.43144345238096,189.9333333333333,100.16666666666667,101.03333333333335,101.76666666666667,4312.666666666667,99.16666666666667,101.76666666666667,99.76666666666667,-0.014205688962311733,-0.016430398694860068,102.05555555555556
2015Q3,138.4,119.61,165.55,288057.0,218067.0,83552.0,-23525.0,566151.0,"9,1","8,975","19,73684211",60.1,2015-07-01,119.60635416666668,192.76666666666665,100.46666666666665,100.63333333333333,102.2,4753.333333333333,102.2,102.2,99.76666666666667,0.004551543491077367,-0.023194330150617736,102.05555555555556
2016Q1,120.7,122.02,147.28,181839.0,215787.0,82340.0,-36503.0,443463.0,"8,2","8,575","-26,78571429",58.9,2016-01-01,122.03036607142855,199.53333333333333,101.36666666666667,100.96666666666665,103.86666666666667,4800.0,102.10000000000001,103.86666666666667,104.3,0.012397884811677933,-0.001813589198422667,100.9909090909091
2016Q2,115.2,123.24,141.97,222713.0,246501.0,93922.0,-21877.0,541259.0,"9,2","8,575","5,747126437",55.7,2016-04-01,123.24144345238095,204.66666666666666,99.93333333333334,99.89999999999999,100.39999999999999,5231.666666666667,101.73333333333333,100.39999999999999,101.5,-0.015547355756900865,0.007199950010506567,100.9909090909091
2016Q3,115.4,124.47,143.64,357081.0,252694.0,90570.0,-43105.0,657240.0,"7,3","8,575","-19,78021978",64.5,2016-07-01,124.46635416666668,208.13333333333333,101.43333333333334,100.86666666666667,103.10000000000001,5303.333333333333,100.3,103.10000000000001,103.39999999999999,0.006960670947388434,0.035593135569027566,100.9909090909091
2016Q4,117.5,125.72,147.72,380561.0,268341.0,102512.0,-31866.0,719548.0,"9,6","8,575","39,13043478",62.6,2016-10-01,125.7118363095238,218.05,101.35,100.25,101.35,5940.5,101.6,101.35,101.45,-0.0120649964350187,0.018501119492886298,100.9909090909091
2017Q1,126.8,126.97,161.0,224185.0,298679.0,116960.0,-47788.0,592036.0,"8,1","9,15","-1,219512195",59.3,2017-01-01,126.98036607142855,227.0,101.23333333333333,101.0,99.93333333333334,6540.0,102.63333333333333,99.93333333333334,101.26666666666667,-0.014340355530102968,-0.028930258096924667,101.07272727272726
2017Q2,121.0,128.24,155.17,265852.0,353252.0,104817.0,-30668.0,693253.0,"8,6","9,15","-6,52173913",55.5,2017-04-01,128.24144345238096,235.33333333333334,101.03333333333335,100.2,101.26666666666667,7179.666666666667,99.66666666666667,101.26666666666667,100.53333333333335,0.0058282040003914334,-0.009324437095766866,101.07272727272726
2017Q3,121.3,129.53,157.11,418444.0,364972.0,115336.0,-48717.0,850035.0,"8,1","9,15","10,95890411",56.9,2017-07-01,129.5263541666667,240.79999999999998,101.03333333333335,101.10000000000001,104.13333333333333,7280.666666666667,100.63333333333333,104.13333333333333,101.89999999999999,0.0046514564939468,-0.014357415908230933,101.07272727272726
2017Q4,120.7,130.82,157.9,437382.0,395877.0,130159.0,-46506.0,916912.0,"11,8","9,15","22,91666667",61.2,2017-10-01,130.8118363095238,247.75,100.95,100.9,100.65,8128.0,102.25,100.65,103.05000000000001,0.01278317714762595,0.01630327027594415,101.07272727272726
2018Q1,115.1,132.13,152.08,260714.0,391140.0,123805.0,-60721.0,714938.0,9,"8,45","11,11111111",53.0,2018-01-01,132.14036607142856,257.53333333333336,100.93333333333334,100.86666666666667,99.7,8230.0,101.3,99.7,100.36666666666667,-0.0012947691838844338,-0.0084631033825058,100.71818181818183
