date_q,quarter_period,total_gdp_deflator,real_gdp_index,nominal_gdp_index,gross_operating_surplus,compensation_of_employees,taxes_less_subsidies,property_income_net_row,gross_national_income,unemployment_rate,avg_annual_unemployment_rate,yoy_change_perc,employment_rate,date,real_gdp_index_seasonally_adjusted,cpi_index,inflation_index,core_inflation_index,Deflators of gross domestic product by final use categories,avg_wage_uah,monthly_agri_exp_index,industrial_production_index,ppi_index,ppi_mom_growth,ppi_yoy_growth,inflation_index_seasonally_adjusted,inflation_index_t+1,inflation_index_lag1,inflation_index_lag2,inflation_index_lag4,core_inflation_index_lag1,core_inflation_index_lag2,core_inflation_index_lag4,cpi_index_lag1,cpi_index_lag2,cpi_index_lag4,total_gdp_deflator_lag1,total_gdp_deflator_lag2,total_gdp_deflator_lag4,avg_wage_uah_lag1,avg_wage_uah_lag2,avg_wage_uah_lag4,ppi_index_lag1,ppi_index_lag2,ppi_index_lag4,total_gdp_deflator_qoq,total_gdp_deflator_yoy,total_gdp_deflator_diff,nominal_gdp_index_qoq,nominal_gdp_index_yoy,nominal_gdp_index_diff,avg_wage_uah_qoq,avg_wage_uah_yoy,avg_wage_uah_diff,ppi_index_qoq,ppi_index_yoy,ppi_index_diff,inflation_index_mean4,inflation_index_std4,ppi_index_mean4,ppi_index_std4,avg_wage_uah_mean4,avg_wage_uah_std4,real_wage_index,gdp_gap,inflation_gap,ppi_infl_gap_interact
2016-04-01,2016Q2,115.2,123.24,141.97,222713.0,246501.0,93922.0,-21877.0,541259.0,9.2,8.575,5.747126437,55.7,2016-04-01,123.24144345238096,204.66666666666663,99.93333333333334,99.9,100.4,5231.666666666667,101.73333333333332,100.4,101.5,-0.0155473557569008,0.0071999500105065,100.9909090909091,101.43333333333334,101.36666666666667,100.46666666666664,105.53333333333336,100.96666666666664,100.63333333333333,102.3,199.53333333333333,192.76666666666665,189.5,120.7,138.4,141.2,4800.0,4753.333333333333,4113.0,104.3,99.76666666666668,100.73333333333332,-0.045567522783761416,-0.1841359773371104,-5.5,-0.03605377512221619,-0.14253789937790662,-5.310000000000002,0.08993055555555562,0.27198314288029835,431.66666666666697,-0.02684563758389258,0.007610853739245638,-2.799999999999997,100.48333333333333,0.6280481227138941,101.33333333333334,2.139920386196467,4774.416666666667,375.67256970615983,25.56188925081434,0.15197987666342105,0.03333333333333144,-0.0008948545861297018
2016-07-01,2016Q3,115.4,124.47,143.64,357081.0,252694.0,90570.0,-43105.0,657240.0,7.3,8.575,-19.78021978,64.5,2016-07-01,124.46635416666668,208.13333333333333,101.43333333333334,100.86666666666667,103.1,5303.333333333333,100.3,103.1,103.4,0.0069606709473884,0.0355931355690275,100.9909090909091,101.35,99.93333333333334,101.36666666666667,100.16666666666669,99.9,100.96666666666664,101.03333333333336,204.66666666666663,199.53333333333333,189.9333333333333,115.2,120.7,139.7,5231.666666666667,4800.0,4312.666666666667,101.5,104.3,99.76666666666668,0.0017361111111111605,-0.17394416607015017,0.20000000000000284,0.011763048531379772,-0.13182230281051677,1.6699999999999875,0.013698630136986134,0.22971092904622026,71.66666666666606,0.01871921182266023,0.03641830938857327,1.9000000000000057,100.8,0.7267380189230213,102.24166666666667,2.021069573820307,5022.083333333333,285.5254253451313,25.48046124279308,0.1540130151843817,0.5666666666666629,0.01060755336617406
2016-10-01,2016Q4,117.5,125.72,147.72,380561.0,268341.0,102512.0,-31866.0,719548.0,9.6,8.575,39.13043478,62.6,2016-10-01,125.7118363095238,218.05,101.35,100.25,101.35,5940.5,101.6,101.35,101.45,-0.0120649964350187,0.0185011194928862,100.9909090909091,101.23333333333332,101.43333333333334,99.93333333333334,100.46666666666664,100.86666666666667,99.9,100.63333333333333,208.13333333333333,204.66666666666663,192.76666666666665,115.4,115.2,138.4,5303.333333333333,5231.666666666667,4753.333333333333,103.4,101.5,99.76666666666668,0.0181975736568456,-0.15101156069364163,2.0999999999999943,0.028404344193817987,-0.10770160072485657,4.0800000000000125,0.12014456316781907,0.24975455820476866,637.166666666667,-0.018858800773694395,0.01687270297360488,-1.9500000000000028,101.02083333333334,0.7258934469302629,102.66250000000001,1.4197270864500648,5318.875,470.282093732245,27.24375143315753,0.17499204581609917,1.0999999999999943,-0.020744680851063728
2017-01-01,2017Q1,126.8,126.97,161.0,224185.0,298679.0,116960.0,-47788.0,592036.0,8.1,9.15,-1.219512195,59.3,2017-01-01,126.98036607142856,227.0,101.23333333333332,101.0,99.93333333333334,6540.0,102.63333333333333,99.93333333333334,101.26666666666668,-0.0143403555301029,-0.0289302580969246,101.07272727272726,101.03333333333336,101.35,101.43333333333334,101.36666666666667,100.25,100.86666666666667,100.96666666666664,218.05,208.13333333333333,199.53333333333333,117.5,115.4,120.7,5940.5,5303.333333333333,4800.0,101.45,103.4,104.3,0.07914893617021268,0.0505385252692625,9.299999999999997,0.08989981045220685,0.09315589353612164,13.280000000000001,0.10091743119266061,0.36250000000000004,599.5,-0.0018071299490717285,-0.029082774049216886,-0.1833333333333229,100.9875,0.7075485849042431,101.90416666666667,1.0022544032773757,5753.875,613.3271946401716,28.81057268722467,0.26801606678743006,0.23333333333332007,-0.00042166365478337934
2017-04-01,2017Q2,121.0,128.24,155.17,265852.0,353252.0,104817.0,-30668.0,693253.0,8.6,9.15,-6.52173913,55.5,2017-04-01,128.24144345238096,235.33333333333337,101.03333333333336,100.2,101.26666666666668,7179.666666666667,99.66666666666669,101.26666666666668,100.53333333333336,0.0058282040003914,-0.0093244370957668,101.07272727272726,101.03333333333336,101.23333333333332,101.35,99.93333333333334,101.0,100.25,99.9,227.0,218.05,204.66666666666663,126.8,117.5,115.2,6540.0,5940.5,5231.666666666667,101.26666666666668,101.45,101.5,-0.045741324921135584,0.0503472222222221,-5.799999999999997,-0.03621118012422364,0.09297738958934976,-5.8300000000000125,0.09780835881753314,0.3723478814909207,639.666666666667,-0.007241606319947191,-0.009523809523809268,-0.7333333333333201,101.2625,0.173405433722365,101.66250000000002,1.2241682739570339,6240.875,804.1589967970431,30.508498583569402,0.20999688084840895,0.833333333333357,-0.006034671933289498
2017-07-01,2017Q3,121.3,129.53,157.11,418444.0,364972.0,115336.0,-48717.0,850035.0,8.1,9.15,10.95890411,56.9,2017-07-01,129.5263541666667,240.8,101.03333333333336,101.1,104.13333333333333,7280.666666666667,100.63333333333333,104.13333333333333,101.9,0.0046514564939468,-0.0143574159082309,101.07272727272726,100.95,101.03333333333336,101.23333333333332,101.43333333333334,100.2,101.0,100.86666666666667,235.33333333333337,227.0,208.13333333333333,121.0,126.8,115.4,7179.666666666667,6540.0,5303.333333333333,100.53333333333336,101.26666666666668,103.4,0.0024793388429751317,0.051126516464471417,0.29999999999999716,0.01250241670426,0.09377610693400196,1.9400000000000261,0.014067505455220841,0.37284726587052175,101.0,0.013594164456233182,-0.014506769825918808,1.3666666666666458,101.16250000000001,0.15656911856711792,101.28750000000001,0.5688479260425817,6735.208333333334,623.0932599925501,30.23532668881506,0.21292364703157585,-0.06666666666663446,-0.0009062776304151076
2017-10-01,2017Q4,120.7,130.82,157.9,437382.0,395877.0,130159.0,-46506.0,916912.0,11.8,9.15,22.91666667,61.2,2017-10-01,130.8118363095238,247.75,100.95,100.9,100.65,8128.0,102.25,100.65,103.05,0.0127831771476259,0.0163032702759441,101.07272727272726,100.93333333333334,101.03333333333336,101.03333333333336,101.35,101.1,100.2,100.25,240.8,235.33333333333337,218.05,121.3,121.0,117.5,7280.666666666667,7179.666666666667,5940.5,101.9,100.53333333333336,101.45,-0.004946413849958753,0.027234042553191617,-0.5999999999999943,0.005028324104130899,0.06891416192797184,0.789999999999992,0.11638128376522294,0.3682349970541201,847.333333333333,0.011285574092247286,0.015771315919171913,1.1499999999999915,101.06250000000001,0.12047360245666422,101.68750000000001,1.0662651153893494,7282.083333333334,652.368469785568,32.80726538849647,0.20700198746369058,0.04999999999999716,0.0005642787046123322
2018-01-01,2018Q1,115.1,132.13,152.08,260714.0,391140.0,123805.0,-60721.0,714938.0,9.0,8.45,11.11111111,53.0,2018-01-01,132.14036607142856,257.53333333333336,100.93333333333334,100.86666666666667,99.7,8230.0,101.3,99.7,100.36666666666667,-0.0012947691838844,-0.0084631033825058,100.71818181818183,99.76666666666668,100.95,101.03333333333336,101.23333333333332,100.9,101.1,101.0,247.75,240.8,227.0,120.7,121.3,126.8,8128.0,7280.666666666667,6540.0,103.05,101.9,101.26666666666668,-0.046396023198011616,-0.0922712933753943,-5.6000000000000085,-0.0368587713742875,-0.055403726708074474,-5.819999999999993,0.01254921259842523,0.2584097859327217,102.0,-0.026039139576257364,-0.0088874259381172,-2.683333333333323,100.98750000000001,0.05335936864527084,101.4625,1.2617136348222093,7704.583333333334,550.9347191953021,31.957028216412112,0.15098766366457284,0.06666666666666288,-0.0017359426384170589
2018-04-01,2018Q2,117.2,133.45,156.4,305408.0,446879.0,129511.0,-43927.0,837871.0,7.4,8.45,-13.95348837,52.5,2018-04-01,133.45144345238094,259.2,99.76666666666668,100.03333333333336,101.56666666666666,9012.0,100.33333333333331,101.56666666666666,101.33333333333331,0.0016563443293623,0.0080340408594067,100.71818181818183,101.2,100.93333333333334,100.95,101.03333333333336,100.86666666666667,100.9,100.2,257.53333333333336,247.75,235.33333333333337,115.1,120.7,121.0,8230.0,8128.0,7179.666666666667,100.36666666666667,103.05,100.53333333333336,0.018245004344048743,-0.03140495867768589,2.1000000000000085,0.028406102051551807,0.007926789972288573,4.319999999999993,0.09501822600243015,0.2552114768559357,782.0,0.009631351710394975,0.007957559681697202,0.9666666666666401,100.67083333333335,0.6043629949207904,101.66250000000001,1.1208772192977827,8162.666666666666,708.290586945461,34.76851851851852,0.17197452229299381,-0.26666666666667993,-0.0025683604561054546
2018-07-01,2018Q3,116.2,134.78,156.62,476708.0,459020.0,142333.0,-67602.0,1010459.0,10.2,8.45,25.92592593,52.5,2018-07-01,134.7763541666667,262.76666666666665,101.2,101.1,103.73333333333332,9079.0,100.96666666666664,103.73333333333332,101.06666666666666,0.001359226053175,-0.0081565560920408,100.71818181818183,101.1,99.76666666666668,100.93333333333334,101.03333333333336,100.03333333333336,100.86666666666667,101.1,259.2,257.53333333333336,240.8,117.2,115.1,121.3,9012.0,8230.0,7280.666666666667,101.33333333333331,100.36666666666667,101.9,-0.008532423208191142,-0.042044517724649566,-1.0,0.0014066496163682718,-0.003118833938005272,0.21999999999999886,0.007434531735463823,0.2470011903671825,67.0,-0.002631578947368318,-0.008177952240759012,-0.2666666666666515,100.7125,0.6422436078715335,101.45416666666667,1.1393122519342103,8612.25,502.74869467755883,34.55156666243816,0.1620418459712123,0.10000000000000853,-0.00026315789473685424
